loss_step,step,epoch,val_loss,loss_epoch
0.20267072793083368,49,0,,
0.19086425153217432,99,0,,
0.18022164633581875,149,0,,
0.19162635896251837,199,0,,
0.1785362691733907,249,0,,
0.17682747198495638,299,0,,
,322,0,0.1766614093003008,
,322,0,,0.1971721313562186
0.17461851187183836,349,1,,
0.18401385089308378,399,1,,
0.17305561648926943,449,1,,
0.16341637396727846,499,1,,
0.17305084747852106,549,1,,
0.1682184085954077,599,1,,
,645,1,0.16294989230080573,
,645,1,,0.1730534609793944
0.17078959748630496,649,2,,
0.163092835580566,699,2,,
0.1522030714259396,749,2,,
0.16155960550119314,799,2,,
0.1555619594922051,849,2,,
0.15983316728318187,899,2,,
0.16066898776083208,949,2,,
,968,2,0.1539797029847793,
,968,2,,0.16062154485501312
0.152010028905099,999,3,,
0.1429499921299503,1049,3,,
0.15861067903507672,1099,3,,
0.1472733861619007,1149,3,,
0.15119654322883333,1199,3,,
0.14957005731747586,1249,3,,
,1291,3,0.14979394066879137,
,1291,3,,0.15387699902691668
0.15678861150644252,1299,4,,
0.15297030791136496,1349,4,,
0.14933530196513958,1399,4,,
0.14403159685701894,1449,4,,
0.1456323188255813,1499,4,,
0.15984766377843898,1549,4,,
0.15378391920492301,1599,4,,
,1614,4,0.1458189787817767,
,1614,4,,0.14981436119878103
0.1524104384965786,1649,5,,
0.13044347944171855,1699,5,,
0.13945834873043356,1749,5,,
0.14136742019846338,1799,5,,
0.1386585957638865,1849,5,,
0.15163515778943468,1899,5,,
,1937,5,0.14344394950384645,
,1937,5,,0.14685347395962925
0.1280382287721914,1949,6,,
0.14899644028376555,1999,6,,
0.1384930285209565,2049,6,,
0.14377149058942013,2099,6,,
0.14587576424034568,2149,6,,
0.15509732861820186,2199,6,,
0.14291417288827465,2249,6,,
,2260,6,0.14195143463373674,
,2260,6,,0.14446757585454795
0.13877447746133478,2299,7,,
0.14428765670798466,2349,7,,
0.14268562370974772,2399,7,,
0.13592993977625648,2449,7,,
0.14099168572878934,2499,7,,
0.14215134820667982,2549,7,,
,2583,7,0.13988706059057948,
,2583,7,,0.14240907896416868
0.14394759064644802,2599,8,,
0.15121463578271724,2649,8,,
0.13989728043527805,2699,8,,
0.13833448001090984,2749,8,,
0.1462717842590722,2799,8,,
0.1445282144883251,2849,8,,
0.14419831151934973,2899,8,,
,2906,8,0.13920699775035372,
,2906,8,,0.14069137603402807
0.12944310070800766,2949,9,,
0.1333010380872667,2999,9,,
0.13024649790394152,3049,9,,
0.14011821052488255,3099,9,,
0.13479112112396446,3149,9,,
0.1364039645698926,3199,9,,
,3229,9,0.1377476889233685,
,3229,9,,0.13930376505078965
0.14575887291965806,3249,10,,
0.13754275638117341,3299,10,,
0.1478983986168395,3349,10,,
0.13830437010042987,3399,10,,
0.1335678655425288,3449,10,,
0.14326582696709125,3499,10,,
0.14628114850590318,3549,10,,
,3552,10,0.1365098450558137,
,3552,10,,0.13804609537918558
0.14382333453119658,3599,11,,
0.13799984629505088,3649,11,,
0.12826856945816523,3699,11,,
0.1351914272332348,3749,11,,
0.12885852717190774,3799,11,,
0.13349420226582884,3849,11,,
,3875,11,0.13600349277919319,
,3875,11,,0.13686714603373235
0.12690992032826562,3899,12,,
0.14111975373703778,3949,12,,
0.1451102615952043,3999,12,,
0.1423338584518259,4049,12,,
0.13455342821029406,4099,12,,
0.14088297980167158,4149,12,,
,4198,12,0.13543703578567076,
,4198,12,,0.13581151659934146
0.1330983168543377,4199,13,,
0.12774258515433404,4249,13,,
0.1323974267536123,4299,13,,
0.1322681249081141,4349,13,,
0.13387526066687844,4399,13,,
0.13819082353773382,4449,13,,
0.1309017229242898,4499,13,,
,4521,13,0.1342860953085734,
,4521,13,,0.13491594952432936
0.12883870309199816,4549,14,,
0.12595392442096137,4599,14,,
0.1336987873141303,4649,14,,
0.12853769927159517,4699,14,,
0.13848666795835365,4749,14,,
0.13108784803719312,4799,14,,
,4844,14,0.13388896618387736,
,4844,14,,0.1341741804812458
0.12494212337748263,4849,15,,
0.1384293670924601,4899,15,,
0.13306011722263297,4949,15,,
0.1256532000822214,4999,15,,
0.12965629271766588,5049,15,,
0.14156300448065723,5099,15,,
0.1381301008861045,5149,15,,
,5167,15,0.1332333791910993,
,5167,15,,0.1330899399000447
0.1307795994470609,5199,16,,
0.13030921680660837,5249,16,,
0.13330715057015752,5299,16,,
0.12973339181982574,5349,16,,
0.14024379260499603,5399,16,,
0.13123754375867078,5449,16,,
,5490,16,0.13253766053275812,
,5490,16,,0.13245149076639134
0.12201750640775641,5499,17,,
0.13694673816376907,5549,17,,
0.11962140032541915,5599,17,,
0.13193403724035363,5649,17,,
0.14082350022089685,5699,17,,
0.1355533295691096,5749,17,,
0.1287284025731087,5799,17,,
,5813,17,0.13238902547900788,
,5813,17,,0.131762823958238
0.12519050935710943,5849,18,,
0.1256809407995103,5899,18,,
0.14055451442688424,5949,18,,
0.1427899063645183,5999,18,,
0.132104093727712,6049,18,,
0.1317378900456146,6099,18,,
,6136,18,0.13185680736209499,
,6136,18,,0.13105825776186025
0.13427088157214725,6149,19,,
0.12692676760838825,6199,19,,
0.12228851611776632,6249,19,,
0.1347194302947105,6299,19,,
0.1371263663687214,6349,19,,
0.13742368803692104,6399,19,,
0.1335520183314443,6449,19,,
,6459,19,0.1313275652904666,
,6459,19,,0.1303654126464106
0.1292327386768151,6499,20,,
0.14681536145458668,6549,20,,
0.13162775073163985,6599,20,,
0.11961065102903842,6649,20,,
0.12799353395333918,6699,20,,
0.12785297172697296,6749,20,,
