loss_step,epoch,step,val_loss,loss_epoch
0.20267072793083368,0,49,,
0.19086425153217432,0,99,,
0.18022164633581875,0,149,,
0.19162635896251837,0,199,,
0.1785362691733907,0,249,,
0.17682747198495638,0,299,,
,0,322,0.1766614093003008,
,0,322,,0.1971721313562186
0.17461851187183836,1,349,,
0.18401385089308378,1,399,,
0.17305561648926943,1,449,,
0.16341637396727846,1,499,,
0.17305084747852106,1,549,,
0.1682184085954077,1,599,,
,1,645,0.16294989230080573,
,1,645,,0.1730534609793944
0.17078959748630496,2,649,,
0.163092835580566,2,699,,
0.1522030714259396,2,749,,
0.16155960550119314,2,799,,
0.1555619594922051,2,849,,
0.15983316728318187,2,899,,
0.16066898776083208,2,949,,
,2,968,0.1539797029847793,
,2,968,,0.16062154485501312
0.152010028905099,3,999,,
0.1429499921299503,3,1049,,
0.15861067903507672,3,1099,,
0.1472733861619007,3,1149,,
0.15119654322883333,3,1199,,
0.14957005731747586,3,1249,,
,3,1291,0.14979394066879137,
,3,1291,,0.15387699902691668
0.15678861150644252,4,1299,,
0.15297030791136496,4,1349,,
0.14933530196513958,4,1399,,
0.14403159685701894,4,1449,,
0.1456323188255813,4,1499,,
0.15984766377843898,4,1549,,
0.15378391920492301,4,1599,,
,4,1614,0.1458189787817767,
,4,1614,,0.14981436119878103
0.1524104384965786,5,1649,,
0.13044347944171855,5,1699,,
0.13945834873043356,5,1749,,
0.14136742019846338,5,1799,,
0.1386585957638865,5,1849,,
0.15163515778943468,5,1899,,
,5,1937,0.14344394950384645,
,5,1937,,0.14685347395962925
0.1280382287721914,6,1949,,
0.14899644028376555,6,1999,,
0.1384930285209565,6,2049,,
0.14377149058942013,6,2099,,
0.14587576424034568,6,2149,,
0.15509732861820186,6,2199,,
0.14291417288827465,6,2249,,
,6,2260,0.14195143463373674,
,6,2260,,0.14446757585454795
0.13877447746133478,7,2299,,
0.14428765670798466,7,2349,,
0.14268562370974772,7,2399,,
0.13592993977625648,7,2449,,
0.14099168572878934,7,2499,,
0.14215134820667982,7,2549,,
,7,2583,0.13988706059057948,
,7,2583,,0.14240907896416868
